Project Number,Project Title,Location,MIS Program,Capability Sponsor,CBPL Score,Rank Score,Cost,Must Fund FY21,Must Fund FY22,Must Fund FY23,Must Fund FY24,Must Fund FY25,NET FY21,NET FY22,NET FY23,NET FY24,NET FY25,Business Rule,Previous Program,PDS,PDS_DOL,PND1,PND1_DOL,PND2,PND2_DOL,CEQOM,CEQOM_DOL,CEQPROC,CEQPROC_DOL,C4IOM,C4IOM_DOL,C4IPROC,C4IPROC_DOL
36981,SOF Heavy Drop Rigging Facility,"FT CAMPBELL, KY",160SOR,USASOC,52.09901668,9.836065574,12000,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,720,-1,480,2,480,1,1200,2,180,1,420
63848,SOF Vehicle Maintenance Facility,"FT BRAGG, NC",SWCS,USASOC,9.862320627,62.70491803,12376,0,0,0,0,0,0,0,1,1,1,0,23,-3,125,-2,742.56,-1,495.04,2,,1,144,2,216,1,504
66326,SOF Tactical Equipment Maintenance Facility,"FT CARSON, CO",10SFG,USASOC,100,92.21311475,13600,0,0,0,0,0,1,1,1,1,1,0,21,-3,125,-2,816,-1,544,2,944,1,118,2,177,1,413
66820,SOF Unit Storage / Mobilization Facility,"Joint Base Lewis McChord, WA",1SFG,USASOC,100,27.45901639,9000,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,540,-1,360,2,720,1,720,2,135,1,315
69252, SOF Baffle Containment for Range 19C,"FT BRAGG, NC",CDA-A1,JSOC,94.28138942,51.63934426,7100,0,0,0,0,0,0,1,1,1,1,0,22,-3,125,-2,426,-1,284,2,595,1,,2,99,1,242
69253,SOF Close Quarters Combat Range,"FT BRAGG, NC",CDA-A1,JSOC,94.28138942,53.27868852,7200,0,0,0,0,0,1,1,1,1,1,0,21,-3,125,-2,432,-1,288,2,5981,1,,2,988,1,996
69262,SOF Military Working Dog Facility,"HUNTER AAF, GA",75RGR,USASOC,85.52560896,80.73770492,7400,0,0,0,0,0,0,1,1,1,1,0,22,-3,125,-2,444,-1,296,2,592,1,,2,111,1,259
69279,SOF Tactical Unmanned Aerial Vehicle Hangar,"FT LEWIS, WA",1SFG,USASOC,100,61.47540984,3800,0,0,0,0,0,0,0,1,1,1,0,24,-3,125,-2,228,-1,152,2,190,1,114,2,57,1,133
69293,SOF Maritime Ops Facility,"FT BRAGG, NC",3SFG,USASOC,100,20.90163934,12500,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,750,-1,500,2,1000,1,1000,2,187.5,1,437.5
69507,SOF Deployment Equipment Storage Building,"FT BENNING, GA",75RGR,USASOC,85.52560896,38.1147541,3111,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,186.66,-1,124.44,2,248.88,1,248.88,2,46.665,1,108.885
69518,SOF Battalion Operations Facility,"HUMPHRIES ENGINEER CENTER & SUPPORT ACT, VA",CDA-O,USASOC,82.74577202,81.96721311,35000,0,0,0,0,0,0,1,1,1,1,0,22,-3,375,-2,2100,-1,1400,2,2800,1,2800,2,525,1,3850
69762,SOF Deployment Storage Facility (BN Deployment),"FT CARSON, CO",10SFG,USASOC,100,35.24590164,12640,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,758.4,-1,505.6,2,1011.2,1,1011.2,2,189.6,1,442.4
71227,SOF Admin/Company Operations,"FT BRAGG, NC",4MISG,USASOC,84.2001776,39.75409836,14600,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,876,-1,584,2,1168,1,1168,2,219,1,511
71229,SOF Tactical Equipment Maintenance Facility,"FT BRAGG, NC",4MISG,USASOC,84.2001776,84.01639344,20000,0,0,0,0,0,0,1,1,1,1,0,22,-3,250,-2,1200,-1,800,2,1400,1,1600,2,300,1,700
71230,SOF Tactical Equipment Maintenance Facility,"FT BRAGG, NC",8MISG,USASOC,84.2001776,40.57377049,23000,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1380,-1,920,2,1610,1,1840,2,345,1,805
72426,SOF Military Working Dog Facility,"FT BRAGG, NC",CDA-A1,JSOC,94.28138942,96.31147541,12700,0,0,0,0,0,1,1,1,1,1,0,21,-3,125,-2,762,-1,508,2,641,1,,2,90,1,238
79445,SOF Human Performance Training Center,"FT BENNING, GA",75RGR,USASOC,85.52560896,43.85245902,10645,0,0,0,0,0,0,0,1,1,1,0,24,-3,125,-2,638.7,-1,425.8,2,1064.5,1,,2,159.675,1,372.575
79448,SOF Human Performance Training Center,"FT CAMPBELL, KY",5SFG,USASOC,100,36.8852459,23000,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1380,-1,920,2,2300,1,,2,345,1,805
79460,SOF Group HQs Expansion,"FT CARSON, CO",10SFG,USASOC,100,79.91803279,40000,0,0,0,0,0,0,1,1,1,1,0,22,-3,375,-2,2400,-1,1600,2,2800,1,400,2,600,1,1400
80777,SOF Battalion Operations Facility,"FT BRAGG, NC",3SFG,USASOC,100,73.7704918,41000,0,0,0,0,0,0,0,1,1,1,0,23,-3,375,-2,2460,-1,1640,2,,1,410,2,615,1,1435
80779,SOF D3915 Renovation Bank Hall,"FT BRAGG, NC",SWCS,USASOC,9.862320627,31.55737705,39807,0,0,0,0,0,0,0,0,0,0,0,0,-3,375,-2,2388.42,-1,1592.28,2,3184.56,1,3184.56,2,597.105,1,1393.245
81166,SOF Human Performance Training Center,"FT CAMPBELL, KY",160SOR,USASOC,52.09901668,5.327868852,10645,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,638.7,-1,425.8,2,1064.5,1,0,2,159.675,1,372.575
81167,SOF Human Performance Training Center,"FT BRAGG, NC",4MISG,USASOC,84.2001776,19.67213115,8235,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,494.1,-1,329.4,2,823.5,1,0,2,123.525,1,288.225
81168,SOF Human Performance Training Center,"Joint Base Lewis McChord, WA",75RGR,USASOC,85.52560896,9.426229508,13545,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,812.7,-1,541.8,2,1354.5,1,0,2,203.175,1,474.075
81169,SOF Human Performance Training Facility ,"HUNTER AAF, GA",75RGR,USASOC,85.52560896,13.93442623,13545,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,812.7,-1,541.8,2,1354.5,1,0,2,203.175,1,474.075
81170,SOF Human Performance Training Center,"Joint Base Lewis McChord, WA",1SFG,USASOC,100,63.93442623,18500,0,0,0,0,0,0,0,1,1,1,0,24,-3,250,-2,1110,-1,740,2,1850,1,,2,277.5,1,647.5
81890,Training Target Structure,CONUS CLASSIFIED,CDA-J1,JSOC,95.25308231,87.70491803,9200,0,0,0,0,0,1,1,1,1,1,0,21,-3,125,-2,552,-1,368,2,400,1,,2,,1,200
81893,SOF Deployment Facility,"FT Bragg, NC",CDA-A1,JSOC,94.28138942,61.8852459,9000,0,0,0,0,0,0,1,1,1,1,0,23,-3,125,-2,540,-1,360,2,900,1,,2,162,1,378
81896,SOF Indoor Range,"HUNTER AAF, GA",75RGR,USASOC,85.52560896,83.19672131,19500,0,0,0,0,0,0,1,1,1,1,0,22,-3,250,-2,1170,-1,780,2,1560,1,,2,292.5,1,682.5
81901,SOF RSTA Operations Facility,"FT BENNING, GA",75RGR,USASOC,85.52560896,59.42622951,4150,0,0,0,0,0,0,0,1,1,1,0,24,-3,125,-2,249,-1,166,2,332,1,332,2,62.25,1,145.25
81905,SOF Consolidated Rigging Facility,"HUNTER AAF, GA",75RGR,USASOC,85.52560896,13.1147541,25000,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1500,-1,1000,2,1000,1,2500,2,375,1,875
81906,SOF Military Free Fall Advanced Training Complex,"YUMA, AZ",SWCS,USASOC,9.862320627,88.93442623,44800,0,0,0,0,0,1,1,1,1,1,0,21,-3,375,-2,2688,-1,1792,2,3080,1,440,2,660,1,1540
81907,SOF Consolidated Rigging Facility,"JOINT BASE LEWIS-MCCHORD, WA",1SFG,USASOC,100,93.03278689,58000,0,0,0,0,0,1,1,1,1,1,0,21,-3,375,-2,3480,-1,2320,2,1520,1,3800,2,570,1,1330
81910,SOF Battalion HQ/CO Operations Addition,"Joint Base Lewis McChord, WA",1SFG,USASOC,100,49.59016393,38000,0,0,0,0,0,0,0,0,1,1,0,0,-3,375,-2,2280,-1,1520,2,3040,1,3040,2,570,1,1330
81911,SOF Deployment Readiness Warehouse,"FT BRAGG, NC",95CABDE,USASOC,77.90464362,42.21311475,7000,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,420,-1,280,2,560,1,,2,105,1,245
81916,SOF Training and Operations Facility,"FT BRAGG, NC",USASOC,USASOC,40.22909876,11.47540984,11000,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,660,-1,440,2,880,1,880,2,165,1,770
85959,SOF Ready Building,"YUMA, AZ",SWCS,USASOC,9.862320627,89.75409836,19051,1,0,0,0,0,1,1,1,1,1,0,21,-3,250,-2,1143.06,-1,762.04,2,1120,1,140,2,210,1,490
86022,SOF Hangar,"YUMA, AZ",160SOR,USASOC,52.09901668,90.98360656,48732,1,0,0,0,0,1,1,1,1,1,0,21,-3,375,-2,2923.92,-1,1949.28,2,2611,1,979.2,2,489,1,1142
86023,SOF SOAT-B HQ,"FT CAMPBELL, KY",160SOT,USASOC,8.523839147,46.31147541,12000,0,0,0,0,0,0,0,0,1,1,0,0,-3,125,-2,720,-1,480,2,960,1,960,2,180,1,420
86027,SOF Mackall Company Operations Facilities ,"FT BRAGG, NC",SWCS,USASOC,9.862320627,58.19672131,4350,0,0,0,0,0,0,0,1,1,1,0,24,-3,125,-2,261,-1,174,2,348,1,348,2,65.25,1,152.25
87378,"TSOC HQ, SOCAFRICA","KELLEY BARRACKS, STUTTGART, GERMANY",SOCAFRICA,SOCAF,42.37717471,55.73770492,97000,0,0,0,0,0,0,0,0,0,0,0,0,-3,375,-2,5820,-1,3880,2,,1,,2,,1,
87436,SOF Battalion Operations Facility,"JOINT BASE LEWIS-MCCHORD, WA",1SFG,USASOC,100,69.67213115,93000,0,0,0,0,0,0,0,1,1,1,0,24,-3,375,-2,5580,-1,3720,2,6510,1,930,2,1395,1,3255
87437,SOF Group Headquarters,"FT BRAGG, NC",3SFG,USASOC,100,94.67213115,48000,1,0,0,0,0,1,1,1,1,1,0,21,-3,375,-2,2880,-1,1920,2,3840,1,480,2,720,1,1680
87439,SOF Watercraft Storage Facility,"NAS KEY WEST, FL",SWCS,USASOC,9.862320627,29.09836066,23000,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1380,-1,920,2,1840,1,1840,2,345,1,805
87441,SOF Operations Facility,"FT CAMPBELL, KY",5SFG,USASOC,100,72.95081967,4700,0,0,0,0,0,0,0,1,1,1,0,23,-3,125,-2,282,-1,188,2,,1,376,2,70.5,1,164.5
87442,SOF Group Headquarters,"JOINT BASE LEWIS-MCCHORD, WA",1SFG,USASOC,100,57.37704918,39000,0,0,0,0,0,0,0,0,1,1,0,0,-3,375,-2,2340,-1,1560,2,3120,1,3120,2,585,1,1365
87444,SOF Command Headquarters,"FT BRAGG, NC",SFCMD,USASOC,0,41.39344262,35000,0,0,0,0,0,0,0,0,0,0,0,0,-3,375,-2,2100,-1,1400,2,2800,1,2800,2,525,1,2450
87447,SOF Supply Support Activity,"FT BRAGG, NC",3SFG,USASOC,100,78.68852459,6400,0,0,0,0,0,0,1,1,1,1,0,22,-3,125,-2,384,-1,256,2,512,1,0,2,96,1,224
87741,SOF Company Operations Facility,"FT BRAGG, NC",CDA-J1,JSOC,95.25308231,40.98360656,11800,0,0,0,0,0,0,0,1,1,1,0,0,-3,125,-2,708,-1,472,2,1500,1,,2,62,1,3130
88654,SOF SERE Training Facility,"FT BRAGG, NC",CDA-J1,JSOC,95.25308231,49.18032787,13300,0,0,0,0,0,0,0,1,1,1,0,24,-3,125,-2,798,-1,532,2,795,1,,2,11,1,520
88655,SOF Training Facility,"FT BRAGG, NC",CDA-J1,JSOC,95.25308231,35.6557377,25000,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1500,-1,1000,2,2200,1,,2,100,1,12500
88656,SOF Equipment Development Facility,"FT BRAGG, NC",CDA-J1,JSOC,95.25308231,74.59016393,28000,0,0,0,0,0,0,0,1,1,1,0,0,-3,250,-2,1680,-1,1120,2,795,1,,2,385,1,2500
88658,SOF Operations Faciltiy,"FT BRAGG, NC",CDA-A1,JSOC,94.28138942,92.62295082,40000,0,0,0,0,0,0,1,1,1,1,0,22,-3,375,-2,2400,-1,1600,2,3966,1,258,2,,1,4000
89186,SOF Tactical Equipment Maintenance Facility,"Joint Base Lewis McChord, WA",1SFG,USASOC,100,86.47540984,16500,0,0,0,0,0,1,1,1,1,1,0,21,-3,250,-2,990,-1,660,2,770,1,110,2,165,1,385
89187,SOF Multi-Purpose Range Support Facility,"FT BRAGG, NC",SWCS,USASOC,9.862320627,44.67213115,7500,0,0,0,0,0,0,0,1,1,1,0,23,-3,125,-2,450,-1,300,2,,1,,2,112.5,1,262.5
89189,SOF Tactical Equipment Maintenance Facility,"FT CAMPBELL, KY",160SOR,USASOC,52.09901668,14.75409836,12300,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,738,-1,492,2,861,1,123,2,184.5,1,430.5
89190,SOF Regiment and Battalion HQs,"FT CAMPBELL, KY",160SOR,USASOC,52.09901668,38.52459016,20000,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1200,-1,800,2,1600,1,1600,2,300,1,700
89192,SOF MI Battalion Operations Facility,"FT BRAGG, NC",SUSB,USASOC,62.48791721,65.98360656,21000,0,0,0,0,0,0,0,1,1,1,0,24,-3,250,-2,1260,-1,840,2,1680,1,1680,2,315,1,1470
89193,SOF Battalion Operations Facility,"HUMPHRIES ENGINEER CENTER & SUPPORT ACT, VA",CDA-O,USASOC,82.74577202,60.6557377,27000,0,0,0,0,0,0,0,1,1,1,0,24,-3,250,-2,1620,-1,1080,2,2160,1,2160,2,405,1,2970
90510,SOF Deployment and Distribution Center Addition,"FT BRAGG, NC",CDA-J1,JSOC,95.25308231,47.13114754,18700,0,0,0,0,0,0,0,1,1,1,0,0,-3,250,-2,1122,-1,748,2,2500,1,,2,65,1,2000
90610,SOF Arms Room Addition,"FT BRAGG, NC",CDA-A1,JSOC,94.28138942,84.83606557,4500,0,0,0,0,0,0,1,1,1,1,0,22,-3,125,-2,270,-1,180,2,1884,1,,2,198,1,
91018,SOF Battalion Operations Facility,"HUMPHRIES ENGINEER CENTER & SUPPORT ACT, VA",CDA-O,USASOC,82.74577202,88.1147541,35000,0,0,0,0,0,1,1,1,1,1,0,21,-3,375,-2,2100,-1,1400,2,2800,1,2800,2,525,1,3850
91019,SOF USASOC Headquarters Complex,"FT BRAGG, NC",USASOC,USASOC,40.22909876,75,131000,0,0,0,0,0,0,1,1,1,1,0,22,-3,375,-2,7860,-1,5240,2,9170,1,1310,2,1965,1,9170
91020,SOF Language Facility ,"Joint Base Lewis McChord, WA",1SFG,USASOC,100,68.44262295,11600,0,0,0,0,0,0,0,1,1,1,0,24,-3,125,-2,696,-1,464,2,928,1,928,2,174,1,406
91021,SOF Deployment Readiness Warehouse,"Eglin AFB, FL",7SFG,USASOC,100,71.72131148,12800,0,0,0,0,0,0,0,1,1,1,0,23,-3,125,-2,768,-1,512,2,,1,,2,192,1,448
91022,SOF Technical Support Detachment (TSD) Annex,"FT BRAGG, NC",3SFG,USASOC,100,70.49180328,11800,0,0,0,0,0,0,0,1,1,1,0,23,-3,125,-2,708,-1,472,2,,1,944,2,177,1,413
91023,SOF Advanced Skills Company Facility,"FT CAMPBELL, KY",5SFG,USASOC,100,24.18032787,10000,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,600,-1,400,2,800,1,800,2,150,1,350
91024,SOF Battalion Operations Facility,WORLDWIDE UNSPECIFIED,CDA-O,USASOC,82.74577202,20.49180328,36000,0,0,0,0,0,0,0,0,0,0,0,0,-3,375,-2,2160,-1,1440,2,2880,1,360,2,540,1,3960
91027,SOF Forward Support Company COFs,"FT. BRAGG, NC",3SFG,USASOC,100,50.40983607,26000,0,0,0,0,0,0,0,0,1,1,0,0,-3,250,-2,1560,-1,1040,2,2080,1,2080,2,390,1,910
92107,SOF Mission Command Center,"FT BRAGG, NC",CDA-J1,JSOC,95.25308231,59.83606557,80000,0,0,0,0,0,0,1,1,1,1,0,0,-3,375,-2,4800,-1,3200,2,9000,1,,2,6000,1,30000
92241,SOF Human Performance Training Center,"BAUMHOLDER, GERMANY",HQSOCOM,HQSOCOM,47.49760876,100,15000,0,0,1,0,0,0,0,1,1,1,0,23,-3,250,-2,900,-1,600,2,2470,1,,2,149,1,296
92242,SOF Battalion Annex,"BAUMHOLDER, GERMANY",HQSOCOM,HQSOCOM,47.49760876,100,10888,0,1,0,0,0,0,1,1,1,1,0,21,-3,125,-2,653.28,-1,435.52,2,7618,1,4729,2,2326,1,4729
92243,SOF Operations Annex,"BAUMHOLDER, GERMANY",HQSOCOM,HQSOCOM,47.49760876,100,20543,0,1,0,0,0,0,1,1,1,1,0,21,-3,250,-2,1232.58,-1,821.72,2,16412,1,10199,2,5032,1,10199
92351,SOF Communications Annex,"BAUMHOLDER, GERMANY",HQSOCOM,HQSOCOM,47.49760876,100,4109,0,1,0,0,0,0,1,1,1,1,0,21,-3,125,-2,246.54,-1,164.36,2,1962,1,1244,2,647,1,1244
92352,SOF Support Annex,"BAUMHOLDER, GERMANY",HQSOCOM,HQSOCOM,47.49760876,100,13603,0,1,0,0,0,0,1,1,1,1,0,21,-3,125,-2,816.18,-1,544.12,2,9474,1,5880,2,2891,1,5880
92397,SOF Ops Facility,"FT BRAGG, NC",CDA-A1,JSOC,94.28138942,33.19672131,60000,0,0,0,0,0,0,0,0,0,0,0,0,-3,375,-2,3600,-1,2400,2,4000,1,,2,,1,4000
92602,"TSOC HQ, SOCEUR","Patch Barracks, Stuttgart, Germany",SOCEUR,SOCEUR,42.37717471,94.26229508,92000,0,0,0,0,0,0,0,0,0,0,0,0,-3,375,-2,5520,-1,3680,2,,1,,2,,1,
92746,SOF Operations Facility ,CONUS CLASSIFIED,CDA-J1,JSOC,95.25308231,90.57377049,100000,0,1,0,0,0,0,1,1,1,1,0,22,-3,375,-2,6000,-1,4000,2,4800,1,,2,1000,1,17942
92790,SOF Command and Control Facility,"FT BRAGG, NC",SFCMD,USASOC,0,53.68852459,103000,0,0,0,1,0,0,0,0,1,1,0,24,-3,375,-2,6180,-1,4120,2,7210,1,1030,2,1545,1,7210
92791,SOF Joint Intelligence Center,"FT BRAGG, NC",SFCMD,USASOC,0,77.86885246,56100,0,1,0,0,0,0,1,1,1,1,0,22,-3,375,-2,3366,-1,2244,2,4560,1,570,2,855,1,3990
92792,SOF MI Battalion Headquarters,"FT BENNING, GA",75RGR,USASOC,85.52560896,85.24590164,20000,0,1,0,0,0,0,1,1,1,1,0,22,-3,250,-2,1200,-1,800,2,1600,1,1600,2,300,1,1400
92793,SOF Operations Building  ,"FT BRAGG, NC",CDA-F3,JSOC,88.17663426,82.37704918,12800,0,1,0,0,0,0,1,1,1,1,0,22,-3,125,-2,768,-1,512,2,300,1,,2,100,1,498
93282,SOF Hangar,"NELLIS AFB, NV",160SOR,USASOC,52.09901668,67.62295082,26000,0,0,0,0,0,0,0,1,1,1,0,24,-3,250,-2,1560,-1,1040,2,1300,1,780,2,390,1,910
