Project Number,Project Title,Location,MIS Program,Capability Sponsor,CBPL Score,Rank Score,Cost,Must Fund FY21,Must Fund FY22,Must Fund FY23,Must Fund FY24,Must Fund FY25,NET FY21,NET FY22,NET FY23,NET FY24,NET FY25,Desired FY,Stability,PDS,PDS_DOL,PND1,PND1_DOL,PND2,PND2_DOL,CEQOM,CEQOM_DOL,CEQPROC,CEQPROC_DOL,C4IOM,C4IOM_DOL,C4IPROC,C4IPROC_DOL
63848,SOF Vehicle Maintenance Facility,"FT BRAGG, NC",SWCS,USASOC,9.862320627,62.70491803,12376,0,0,0,0,0,0,0,1,1,1,1,23,-3,125,-2,742.56,-1,495.04,2,,1,144,2,216,1,504
66326,SOF Tactical Equipment Maintenance Facility,"FT CARSON, CO",10SFG,USASOC,100,92.21311475,13600,0,0,0,0,0,1,1,1,1,1,1,21,-3,125,-2,816,-1,544,2,944,1,118,2,177,1,413
69252, SOF Baffle Containment for Range 19C,"FT BRAGG, NC",CDA-A1,JSOC,94.28138942,51.63934426,7100,0,0,0,0,0,0,1,1,1,1,1,22,-3,125,-2,426,-1,284,2,595,1,,2,99,1,242
69253,SOF Close Quarters Combat Range,"FT BRAGG, NC",CDA-A1,JSOC,94.28138942,53.27868852,7200,0,0,0,0,0,1,1,1,1,1,1,21,-3,125,-2,432,-1,288,2,5981,1,,2,988,1,996
69262,SOF Military Working Dog Facility,"HUNTER AAF, GA",75RGR,USASOC,85.52560896,80.73770492,7400,0,0,0,0,0,0,1,1,1,1,1,22,-3,125,-2,444,-1,296,2,592,1,,2,111,1,259
69279,SOF Tactical Unmanned Aerial Vehicle Hangar,"FT LEWIS, WA",1SFG,USASOC,100,61.47540984,3800,0,0,0,0,0,0,0,1,1,1,1,24,-3,125,-2,228,-1,152,2,190,1,114,2,57,1,133
69518,SOF Battalion Operations Facility,"HUMPHRIES ENGINEER CENTER & SUPPORT ACT, VA",CDA-O,USASOC,82.74577202,81.96721311,35000,0,0,0,0,0,0,1,1,1,1,1,22,-3,375,-2,2100,-1,1400,2,2800,1,2800,2,525,1,3850
71229,SOF Tactical Equipment Maintenance Facility,"FT BRAGG, NC",4MISG,USASOC,84.2001776,84.01639344,20000,0,0,0,0,0,0,1,1,1,1,1,22,-3,250,-2,1200,-1,800,2,1400,1,1600,2,300,1,700
72426,SOF Military Working Dog Facility,"FT BRAGG, NC",CDA-A1,JSOC,94.28138942,96.31147541,12700,0,0,0,0,0,1,1,1,1,1,1,21,-3,125,-2,762,-1,508,2,641,1,,2,90,1,238
79445,SOF Human Performance Training Center,"FT BENNING, GA",75RGR,USASOC,85.52560896,43.85245902,10645,0,0,0,0,0,0,0,1,1,1,1,24,-3,125,-2,638.7,-1,425.8,2,1064.5,1,,2,159.675,1,372.575
79460,SOF Group HQs Expansion,"FT CARSON, CO",10SFG,USASOC,100,79.91803279,40000,0,0,0,0,0,0,1,1,1,1,1,22,-3,375,-2,2400,-1,1600,2,2800,1,400,2,600,1,1400
80777,SOF Battalion Operations Facility,"FT BRAGG, NC",3SFG,USASOC,100,73.7704918,41000,0,0,0,0,0,0,0,1,1,1,1,23,-3,375,-2,2460,-1,1640,2,,1,410,2,615,1,1435
81170,SOF Human Performance Training Center,"Joint Base Lewis McChord, WA",1SFG,USASOC,100,63.93442623,18500,0,0,0,0,0,0,0,1,1,1,1,24,-3,250,-2,1110,-1,740,2,1850,1,,2,277.5,1,647.5
81890,Training Target Structure,CONUS CLASSIFIED,CDA-J1,JSOC,95.25308231,87.70491803,9200,0,0,0,0,0,1,1,1,1,1,1,21,-3,125,-2,552,-1,368,2,400,1,,2,,1,200
81893,SOF Deployment Facility,"FT Bragg, NC",CDA-A1,JSOC,94.28138942,61.8852459,9000,0,0,0,0,0,0,1,1,1,1,1,23,-3,125,-2,540,-1,360,2,900,1,,2,162,1,378
81896,SOF Indoor Range,"HUNTER AAF, GA",75RGR,USASOC,85.52560896,83.19672131,19500,0,0,0,0,0,0,1,1,1,1,1,22,-3,250,-2,1170,-1,780,2,1560,1,,2,292.5,1,682.5
