"Project Number","Project Title","MIS Program","Location","Capability Sponsor","Must Fund","No Earlier","Stability","Current","Cost"
"36981","SOF Heavy Drop Rigging Facility","160SOR","FT CAMPBELL, KY","USASOC","-----","-----","-----","-----",0
"63848","SOF Vehicle Maintenance Facility","SWCS","FT BRAGG, NC","USASOC","-----","FY 23","FY 23","FY 23",12376
"66326","SOF Tactical Equipment Maintenance Facility","10SFG","FT CARSON, CO","USASOC","-----","FY 21","FY 21","FY 21",13600
"66820","SOF Unit Storage / Mobilization Facility","1SFG","Joint Base Lewis McChord, WA","USASOC","-----","-----","-----","-----",0
"69252"," SOF Baffle Containment for Range 19C","CDA-A1","FT BRAGG, NC","JSOC","-----","FY 22","FY 22","FY 22",7100
"69253","SOF Close Quarters Combat Range","CDA-A1","FT BRAGG, NC","JSOC","-----","FY 21","FY 21","FY 21",7200
"69262","SOF Military Working Dog Facility","75RGR","HUNTER AAF, GA","USASOC","-----","FY 22","FY 22","FY 22",7400
"69279","SOF Tactical Unmanned Aerial Vehicle Hangar","1SFG","FT LEWIS, WA","USASOC","-----","FY 23","FY 24","FY 24",3800
"69293","SOF Maritime Ops Facility","3SFG","FT BRAGG, NC","USASOC","-----","-----","-----","-----",0
"69507","SOF Deployment Equipment Storage Building","75RGR","FT BENNING, GA","USASOC","-----","-----","-----","-----",0
"69518","SOF Battalion Operations Facility","CDA-O","HUMPHRIES ENGINEER CENTER & SUPPORT ACT, VA","USASOC","-----","FY 22","FY 22","FY 22",35000
"69762","SOF Deployment Storage Facility (BN Deployment)","10SFG","FT CARSON, CO","USASOC","-----","-----","-----","-----",0
"71227","SOF Admin/Company Operations","4MISG","FT BRAGG, NC","USASOC","-----","-----","-----","-----",0
"71229","SOF Tactical Equipment Maintenance Facility","4MISG","FT BRAGG, NC","USASOC","-----","FY 22","FY 22","FY 22",20000
"71230","SOF Tactical Equipment Maintenance Facility","8MISG","FT BRAGG, NC","USASOC","-----","-----","-----","-----",0
"72426","SOF Military Working Dog Facility","CDA-A1","FT BRAGG, NC","JSOC","-----","FY 21","FY 21","FY 21",12700
"79445","SOF Human Performance Training Center","75RGR","FT BENNING, GA","USASOC","-----","FY 23","FY 24","FY 24",10645
"79448","SOF Human Performance Training Center","5SFG","FT CAMPBELL, KY","USASOC","-----","-----","-----","-----",0
"79460","SOF Group HQs Expansion","10SFG","FT CARSON, CO","USASOC","-----","FY 22","FY 22","FY 22",40000
"80777","SOF Battalion Operations Facility","3SFG","FT BRAGG, NC","USASOC","-----","FY 23","FY 23","FY 23",41000
"80779","SOF D3915 Renovation Bank Hall","SWCS","FT BRAGG, NC","USASOC","-----","-----","-----","-----",0
